model,szn,month,hrs
reeds-US,summer,M6,720
reeds-US,summer,M7,744
reeds-US,summer,M8,744
reeds-US,fall,M9,720
reeds-US,fall,M10,744
reeds-US,winter,M11,720
reeds-US,winter,M12,744
reeds-US,winter,M1,744
reeds-US,winter,M2,672
reeds-US,spring,M3,744
reeds-US,spring,M4,720
reeds-US,spring,M5,744
reeds-India,winter,M1,744
reeds-India,autumn,M10,744
reeds-India,autumn,M11,720
reeds-India,winter,M12,744
reeds-India,spring,M2,672
reeds-India,spring,M3,744
reeds-India,summer,M4,720
reeds-India,summer,M5,744
reeds-India,summer,M6,720
reeds-India,rainy,M7,744
reeds-India,rainy,M8,744
reeds-India,rainy,M9,720
